id,band_gap
4070310.cif,0
4070313.cif,0
4070418.cif,0
4072281.cif,0
4072179.cif,0
4816497.cif,0
4073802.cif,0
4073853.cif,0
4069095.cif,0
4817151.cif,0
4092597.cif,0
4071549.cif,0
4071369.cif,0
4860258.cif,0
4863636.cif,0
4863639.cif,0
4095840.cif,0
4069368.cif,0
4070592.cif,0
4070688.cif,0
4092906.cif,0
4071528.cif,0
4070901.cif,0
4070964.cif,0
4069374.cif,0
4069557.cif,0
4070574.cif,0
4071348.cif,0
4071375.cif,0
4070190.cif,3.143
4070193.cif,0
4070757.cif,0
4086837.cif,0
4069758.cif,0
4071207.cif,0
4070832.cif,0
4070004.cif,0
4092900.cif,0
4070013.cif,0
4071324.cif,0
4070904.cif,0
4094544.cif,0
4071639.cif,0
4086453.cif,0
4814610.cif,0
4070862.cif,0
4097829.cif,0
4086456.cif,0
4070133.cif,0
4070076.cif,0
4072107.cif,0
4070121.cif,0.48
4070550.cif,0
4817811.cif,0
4070439.cif,0
4072164.cif,0
4072167.cif,0
4070529.cif,0
4072182.cif,0
4071090.cif,0
4078107.cif,0
4070202.cif,4.607
4070205.cif,4.588
4070523.cif,0
4093476.cif,0
4072293.cif,0
4070466.cif,0
4070919.cif,0
4070871.cif,0
4070646.cif,0
4070649.cif,0
4070874.cif,0
4070679.cif,0
4070727.cif,0
4071189.cif,0
4070682.cif,0
4862610.cif,0
4070763.cif,0
4072398.cif,0
4072404.cif,0
4072407.cif,0
4071003.cif,0
4434495.cif,0
4434648.cif,0
4071291.cif,0
4071099.cif,0
4071063.cif,0.658
4071204.cif,0.933
4816875.cif,0
4435863.cif,0
4094448.cif,0
4092513.cif,3.185
4069233.cif,0
4070541.cif,2.3
4435926.cif,0
4079943.cif,0
4102551.cif,0
4072221.cif,0
4094511.cif,0
4073823.cif,0
4072239.cif,0
4070535.cif,0
4070559.cif,0
4070487.cif,0
4070484.cif,0
4071180.cif,0
4070304.cif,0
4069026.cif,2.997
4071030.cif,0
4070892.cif,0
4070604.cif,0
4072170.cif,0
4087245.cif,0
4069632.cif,0.49
4813266.cif,0
4069716.cif,0.881
4073100.cif,0
4094400.cif,0
4072155.cif,0
4082919.cif,0
4070775.cif,0
4862685.cif,0
4070046.cif,0
4070610.cif,0
4070802.cif,0
4813413.cif,0
4070979.cif,0
4068708.cif,0
4068966.cif,0
4069635.cif,0
4071300.cif,0
4071228.cif,2.169
4071231.cif,1.853
4068642.cif,0
4070061.cif,0.426
4070337.cif,0.426
4068888.cif,0
4069311.cif,1.572
4069326.cif,3.585
4070025.cif,6.719
4070298.cif,0
4070229.cif,1.819
4070232.cif,1.469
4070925.cif,1.271
4069254.cif,0
4068615.cif,1.047
4072056.cif,0
4068558.cif,1.532
4070097.cif,4.008
4068999.cif,2.718
4071177.cif,0
4069854.cif,3.327
4072317.cif,1.27
4813347.cif,0
4069296.cif,0
4069800.cif,6.549
4069113.cif,0
4069617.cif,0
4092855.cif,0
4070316.cif,0.751
4070334.cif,0
4070469.cif,6.973
4087947.cif,5.332
4070082.cif,3.139
4070433.cif,0
4863666.cif,0
4070160.cif,0
4069545.cif,0
4071060.cif,2.761
4092540.cif,0
4068996.cif,0
4070283.cif,0
4070226.cif,0
4072572.cif,0
4071306.cif,0
4863669.cif,0
4070940.cif,0
4072089.cif,0
4071033.cif,0
4816305.cif,0
4299645.cif,0
4810530.cif,0
4814343.cif,0
4813245.cif,0
4813554.cif,0
4861188.cif,0
4812804.cif,1.945
4813779.cif,0
4813260.cif,0
4274448.cif,0
4274616.cif,0
4274331.cif,0
4279230.cif,0
4274727.cif,0
4274349.cif,0
4274388.cif,0
4276233.cif,0
4274229.cif,1.748
4274502.cif,2.014
4274643.cif,1.533
4274625.cif,0
4274604.cif,0
4274670.cif,0
4314108.cif,0
4274541.cif,0
4274160.cif,0
4274196.cif,0
4314750.cif,0
4274496.cif,0
4274172.cif,0
4274352.cif,0
4274268.cif,0
4274601.cif,0
4274151.cif,0
4278450.cif,2.071
4274559.cif,0
4314768.cif,0
4274562.cif,0
4274178.cif,0
4274649.cif,1.898
4274556.cif,0
4274292.cif,0
4274754.cif,0
4274673.cif,0
4815867.cif,0
4274400.cif,0
4274454.cif,0
4274478.cif,0
4274622.cif,0
4274439.cif,0
4861053.cif,0
4274520.cif,0
4274199.cif,0
4861056.cif,0
4276998.cif,0
4337067.cif,0
4274232.cif,0
4274757.cif,0
4323900.cif,0
4315899.cif,0
4274646.cif,2.583
4274391.cif,0
4274250.cif,0
4274307.cif,0
4314291.cif,0
4274283.cif,0
4274202.cif,0
4183341.cif,0
4313661.cif,0
4274397.cif,0
4275984.cif,0
4274730.cif,2.014
4279701.cif,0
4323783.cif,0
4274373.cif,0.448
4274469.cif,0
4274271.cif,3.601
4274505.cif,0
4274367.cif,0
4274781.cif,0
4319769.cif,0
4274337.cif,0
4274256.cif,0
4815975.cif,0
4274226.cif,0
4276542.cif,0
4274259.cif,0
4815939.cif,0
4274655.cif,0
4274244.cif,0
4274535.cif,0.78
4274334.cif,0
4275501.cif,0
4274247.cif,0
4274580.cif,0
4274529.cif,0
4310433.cif,0
4274295.cif,0
4183743.cif,0
4274430.cif,0
4274301.cif,0
4183353.cif,0
4274184.cif,0
4861083.cif,0
4816410.cif,0
4274304.cif,0
4274241.cif,0
4313421.cif,1.289
4274418.cif,0
4274829.cif,0
4313916.cif,0
4274361.cif,0
4336359.cif,0
4274358.cif,0
4274217.cif,0
4274583.cif,0
4274340.cif,0
4274421.cif,0
4302741.cif,0
4860261.cif,0
4276572.cif,0
4274862.cif,0
4274205.cif,0
4274187.cif,0
4287864.cif,0
4274274.cif,0
4313742.cif,3.989
4274253.cif,0
4274355.cif,0
4316169.cif,0
4281204.cif,0
4274370.cif,0
4277664.cif,0
4274826.cif,0.38
4310997.cif,0
4183854.cif,0
4274286.cif,0
4274778.cif,1.833
4278129.cif,0
4275402.cif,0
4274484.cif,0
4275138.cif,0
4274409.cif,0
4286850.cif,0
4274640.cif,0
4274154.cif,0
4274406.cif,0
4274316.cif,0
4313379.cif,0
4278138.cif,0
4310217.cif,0
4878996.cif,0
4274262.cif,1.744
4298616.cif,0
4276659.cif,0
4274736.cif,0
4277541.cif,2.128
4274577.cif,0
4274223.cif,0
4274310.cif,0
4274157.cif,0
4274403.cif,0
4274676.cif,0
4276341.cif,0
4313358.cif,0
4337202.cif,0
4274811.cif,2.675
4274679.cif,0
4860273.cif,0
4184544.cif,0
4274319.cif,3.696
4274364.cif,0
4861086.cif,0
4277115.cif,0
4274460.cif,0
4274220.cif,1.612
4274481.cif,0
4314993.cif,0
4283727.cif,0
4336983.cif,0
4276749.cif,0
4278969.cif,0
4274805.cif,0
4274547.cif,0
4274706.cif,0
4274211.cif,2.953
4280046.cif,0
4274289.cif,1.204
4274313.cif,0
4274538.cif,0
4274571.cif,0
4861116.cif,0
4296420.cif,0
4323633.cif,0
4275897.cif,0.323
4274385.cif,0
4274544.cif,0
4318938.cif,0
4274748.cif,0
4276548.cif,0.619
4815873.cif,0
4274499.cif,0
4322841.cif,1.205
4274265.cif,0
4274508.cif,0
4274733.cif,0
4183107.cif,2.722
4279590.cif,0
4183794.cif,0
4277898.cif,0
4274487.cif,0
4277322.cif,0
4183494.cif,0
4274619.cif,0
4274799.cif,0
4274382.cif,0
4291485.cif,0
4274745.cif,0
4288953.cif,0
4274214.cif,0
4277370.cif,0
4316202.cif,0
4277124.cif,0
4274181.cif,0
4274742.cif,0
4275354.cif,0
4878945.cif,0
4274175.cif,0
4274208.cif,0
4274526.cif,1.964
4274568.cif,0
4313733.cif,0
4274628.cif,1.744
4274709.cif,0
4274667.cif,0
4274490.cif,0
4274280.cif,0
4274766.cif,0
4274814.cif,0
4183359.cif,0
4274685.cif,1.929
4274712.cif,0
4274574.cif,0
4183311.cif,1.576
4295808.cif,0
4305318.cif,0
4316157.cif,0
4319790.cif,0
4277784.cif,0
4274523.cif,0
4276038.cif,0
4274472.cif,0
4274394.cif,0
4879452.cif,0
4276647.cif,0
4274691.cif,0
4274775.cif,0
4274436.cif,4.307
4185369.cif,0
4274586.cif,0
4278903.cif,0
4274415.cif,0
4275480.cif,0
4275039.cif,0
4313490.cif,0
4184463.cif,0
4274532.cif,0
4274865.cif,0
4274298.cif,0
4280337.cif,0
4860279.cif,0
4274868.cif,0
4183887.cif,0
4276368.cif,0
4274343.cif,0
4275681.cif,3.152
4274589.cif,0
4274328.cif,0
4816242.cif,0
4274442.cif,0
4274688.cif,0
4274784.cif,1.052
4274511.cif,0
4279434.cif,0
4274682.cif,1.806
4274658.cif,0
4274631.cif,0
4283856.cif,0
4274376.cif,0
4336923.cif,0
4274634.cif,0
4274769.cif,0
4861134.cif,0
4274637.cif,0
4275774.cif,2.054
4275450.cif,0.411
4815942.cif,0
4274661.cif,0
4276350.cif,0
4274793.cif,0
4274796.cif,0
4275528.cif,0
4274346.cif,3.049
4275849.cif,0
4274514.cif,0
4277283.cif,0
4274694.cif,0
4274763.cif,1.515
4274610.cif,0
4275255.cif,1.763
4274424.cif,0
4275048.cif,0
4274613.cif,0
4313934.cif,0
4284807.cif,0
4275111.cif,0
4860294.cif,0.847
4274322.cif,0
4274592.cif,0
4276047.cif,0
4278390.cif,0
4275444.cif,0.841
4278645.cif,0
4274823.cif,0
4275267.cif,0
4274277.cif,0
4276416.cif,0.847
4274772.cif,0
4274379.cif,0
4274703.cif,0
4276965.cif,0
4274325.cif,0
4274838.cif,0
4274427.cif,0
4274517.cif,0
4275888.cif,0
4279812.cif,0
4275906.cif,1.895
4275636.cif,1.82
4274433.cif,0
4816023.cif,0
4276383.cif,0
4277703.cif,0
4275075.cif,0
4276512.cif,0
4313793.cif,0
4274988.cif,0
4322835.cif,0
4275285.cif,0
4183998.cif,0
4275735.cif,0
4274475.cif,0
4275645.cif,0
4274751.cif,1.758
4274721.cif,0
4275915.cif,0
4276761.cif,0
4275276.cif,0
4319895.cif,0
4274412.cif,0
4274844.cif,0
4274808.cif,0
4860378.cif,0.934
4275384.cif,0
4274850.cif,0
4314345.cif,0
4276002.cif,1.877
4276824.cif,0
4280931.cif,0
4274820.cif,0
4274958.cif,0
4275654.cif,0
4316946.cif,0
4276443.cif,0
4274997.cif,0
4274553.cif,2.961
4322175.cif,0
4274787.cif,0
4274856.cif,0
4275486.cif,0
4274853.cif,0
4860315.cif,0
4274949.cif,0
4274835.cif,0
4274901.cif,0
4275921.cif,0
4285146.cif,0
4274724.cif,0
4317726.cif,0
4275783.cif,0
4275375.cif,0
4274967.cif,0
4275369.cif,0
4280922.cif,0
4275714.cif,0
4276053.cif,0
4816008.cif,0.878
4275120.cif,0
4274697.cif,0
4275834.cif,0
4285008.cif,0
4274463.cif,0
4275579.cif,0
4275858.cif,0
4274457.cif,0
4274445.cif,0
4336980.cif,0
4275567.cif,0
4337208.cif,0
4277868.cif,0
4274802.cif,0
4276557.cif,0
4816197.cif,0
4275294.cif,0
4274451.cif,0
4275585.cif,0
4275300.cif,0
4285377.cif,0
4276122.cif,0
4275594.cif,0
4274595.cif,0
4275153.cif,1.924
4274817.cif,0
4274550.cif,0
4816338.cif,0
4275603.cif,0
4275426.cif,0
4274790.cif,0
4274982.cif,0
4275147.cif,0
4337298.cif,0
4274598.cif,0
4275729.cif,0
4275867.cif,0
4276260.cif,0
4276833.cif,0
4276185.cif,0
4275417.cif,0
4274652.cif,0
4277022.cif,0
4275339.cif,0
4274907.cif,0
4276845.cif,0
4275174.cif,0
4277952.cif,0.557
4184334.cif,0
4275687.cif,0
4274859.cif,0
4274916.cif,0
4276359.cif,0
4277136.cif,2.345
4860342.cif,0.757
4274832.cif,0.681
4276239.cif,1.608
4277562.cif,0
4275609.cif,1.701
4280202.cif,0
4274718.cif,0
4276011.cif,0
4277472.cif,0
4275309.cif,0
4275843.cif,0
4275330.cif,0
4276251.cif,0
4274715.cif,0
4274739.cif,0
4274700.cif,0.352
4860363.cif,0
4276290.cif,0
4278159.cif,0
4274841.cif,0
4342053.cif,0
4278348.cif,0
4318884.cif,0
4290312.cif,2.045
4276488.cif,0
4275057.cif,0
4276497.cif,0
4277451.cif,1.014
4276299.cif,0
4276266.cif,1.366
4277274.cif,0
4275948.cif,0
4274871.cif,0
4276587.cif,0
4288605.cif,0
4276170.cif,0
4275756.cif,0
4276176.cif,0
4276194.cif,0
4274760.cif,0
4276791.cif,3.342
4276854.cif,0
4184058.cif,0
4277145.cif,0
4316646.cif,0
4277007.cif,0
4276377.cif,0
4276668.cif,0
4276026.cif,0
4280016.cif,0
4277409.cif,0
4276062.cif,0
4275966.cif,0
4860411.cif,0
4277217.cif,0
4278084.cif,0
4277679.cif,0.993
4276077.cif,0
4280061.cif,0
4281756.cif,2.572
4277877.cif,1.049
4278912.cif,0
4277379.cif,0
4276452.cif,0
4276596.cif,0
4317126.cif,0
4184340.cif,0
4277154.cif,2.751
4278960.cif,0
4297191.cif,0
4276680.cif,0
4276458.cif,0
4276782.cif,0
4276314.cif,0
4275957.cif,0
4878252.cif,0.671
4275246.cif,0
4879194.cif,0.405
4277688.cif,0
4860399.cif,0
4315857.cif,0
4276467.cif,0
4274886.cif,0
4277385.cif,0
4277016.cif,0
4816416.cif,0
4276710.cif,0
4276392.cif,0
4277793.cif,1.742
4276275.cif,0
4276689.cif,0
4816248.cif,0
4275975.cif,0
4276701.cif,0
4277298.cif,1.129
4277547.cif,0
4277832.cif,0
4276323.cif,0
4277859.cif,3.273
4276086.cif,0
4276800.cif,0
4276905.cif,0
4278543.cif,0
4276875.cif,0
4276890.cif,0
4288572.cif,0
4277628.cif,0
4277181.cif,0
4276203.cif,0
4276602.cif,0
4280673.cif,0
4275558.cif,0
4278357.cif,0
4276956.cif,0
4280331.cif,0
4278054.cif,0
4183896.cif,0
4276482.cif,0
4275066.cif,0
4279746.cif,0
4277304.cif,0
4276863.cif,0
4336662.cif,0
4183566.cif,0
4277031.cif,0
4275624.cif,0
4276971.cif,0
4828266.cif,0
4816230.cif,0
4816671.cif,0
4860402.cif,0.849
4277313.cif,0
4277196.cif,0
4277463.cif,0
4280373.cif,0
4278228.cif,0
4278237.cif,0
4860099.cif,0
4276899.cif,0.436
4276131.cif,0
4277967.cif,0
4277259.cif,0
4277172.cif,0
4316733.cif,0
4278921.cif,0
4276815.cif,0
4276719.cif,0
4277574.cif,0
4277958.cif,0
4299033.cif,0
4278099.cif,0
4280745.cif,0
4277190.cif,0
4860102.cif,0
4278252.cif,0
4318866.cif,0
4277889.cif,0
4275807.cif,0
4860123.cif,0
4277805.cif,0
4320162.cif,0
4277250.cif,0
4277205.cif,0
4277235.cif,0
4277241.cif,0
4281783.cif,0
4276284.cif,0
4277583.cif,0
4184112.cif,0
4319796.cif,0
4816029.cif,0
4321047.cif,0
4290264.cif,0
4287843.cif,0
4277046.cif,0
4277988.cif,0
4185441.cif,0
4278063.cif,0
4278219.cif,0
4276914.cif,1.758
4319526.cif,0.308
4861107.cif,0
4378545.cif,0
4277715.cif,0
4879254.cif,0
4278552.cif,0
4276521.cif,0
4277997.cif,0
4277907.cif,0
4277748.cif,0
4276629.cif,0
4277079.cif,0
4277055.cif,0
4277604.cif,0
4279515.cif,2.148
4277979.cif,2.003
4277820.cif,0
4277919.cif,0
4277064.cif,0
4278459.cif,0
4277394.cif,0
4279506.cif,0
4278150.cif,0
4278777.cif,0
4278864.cif,0
4279083.cif,0
4280484.cif,0
4278579.cif,0
4279569.cif,0
4277589.cif,0
4277070.cif,0
4278072.cif,0
4278291.cif,0
4278669.cif,0
4278702.cif,0.265
4183860.cif,0
4278837.cif,0
4278585.cif,0
4277637.cif,0
4276986.cif,0
4278846.cif,1.912
4280181.cif,0
4183575.cif,0
4276506.cif,0
4280073.cif,1.85
4280994.cif,0
4285248.cif,2.569
4291881.cif,0
4319694.cif,0
4278177.cif,1.477
4277733.cif,0
4861152.cif,0
4276401.cif,0
4322298.cif,0
4278372.cif,0
4336707.cif,0
4276611.cif,0
4861137.cif,0
4279755.cif,0
4277646.cif,0
4860096.cif,0
4289859.cif,0
4281963.cif,3.815
4277934.cif,0.387
4318149.cif,0
4278300.cif,0
4290633.cif,0
4281030.cif,0
4283736.cif,0
4280496.cif,0
4279827.cif,0
4278183.cif,0
4320357.cif,0
4278660.cif,0
4284684.cif,0
4280682.cif,3.186
4285002.cif,0
4278489.cif,0
4277757.cif,0
4319163.cif,0
4278855.cif,0
4280829.cif,0
4292394.cif,0
4278246.cif,0
4278168.cif,0
4277415.cif,0
4281186.cif,0
4276620.cif,0
4280757.cif,0
4277268.cif,0
4277610.cif,0
4279053.cif,0
4281114.cif,0
4276938.cif,0
4279020.cif,0
4322874.cif,0
4322223.cif,0
4279092.cif,0
4278468.cif,1.632
4319916.cif,0
4279773.cif,0
4279971.cif,0
4277928.cif,0
4317543.cif,0
4278378.cif,0
4279116.cif,0
4861122.cif,1.921
4320069.cif,0
4320798.cif,0
4284960.cif,0
4276725.cif,0
4336530.cif,0
4816044.cif,0
4276929.cif,0
4285014.cif,0
4279173.cif,0
4279251.cif,0
4336413.cif,0
4322082.cif,0
4277328.cif,0
4279182.cif,0
4280124.cif,0
4276734.cif,0
4296621.cif,0
4317237.cif,0
4301136.cif,0
4279272.cif,0
4277511.cif,0
4279575.cif,0
4279149.cif,0
4279101.cif,0.73
4860429.cif,0
4816011.cif,0
4278687.cif,1.437
4279629.cif,0
4278570.cif,0
4318392.cif,0
4336674.cif,0
4277109.cif,0
4282329.cif,0
4278519.cif,0
4317933.cif,0
4860456.cif,0
4278399.cif,0
4321989.cif,0
4278600.cif,0
4184067.cif,0
4285719.cif,0
4278879.cif,0
4183902.cif,0
4278423.cif,0
4828197.cif,0
4286388.cif,0
4278408.cif,0
4278261.cif,0
4279449.cif,0
4281765.cif,0
4278936.cif,0
4277424.cif,0
4278504.cif,0
4280280.cif,0
4280403.cif,0
4861158.cif,0
4279353.cif,0
4277694.cif,0
4277838.cif,0
4318326.cif,0
4280109.cif,0
4277088.cif,0
4278873.cif,0
4278630.cif,0
4278801.cif,0
4861239.cif,0
4281135.cif,0
4277358.cif,0
4367880.cif,0
4280052.cif,0
4816026.cif,0
4279125.cif,0
4278318.cif,0
4278414.cif,0
4278678.cif,0
4277496.cif,0
4277766.cif,0
4281336.cif,0
4279362.cif,0
4278621.cif,0
4279026.cif,0
4277430.cif,2.301
4278510.cif,0
4278606.cif,0
4318200.cif,0
4828344.cif,0
4285074.cif,0
4278018.cif,0
4281972.cif,0
4285452.cif,3.133
4280169.cif,0
4816572.cif,0
4281210.cif,0
4277943.cif,0
4278279.cif,0
5188800.cif,0
4860492.cif,0
4278990.cif,0
4326801.cif,0
4279212.cif,0
4816449.cif,0
4183500.cif,0
4860450.cif,0
4321293.cif,0
4278696.cif,0
4278117.cif,0
4325130.cif,1.912
4321935.cif,0
4279476.cif,0
4279602.cif,0
4184625.cif,0
4816302.cif,0
4316700.cif,0
4279035.cif,0
4279389.cif,0
4293279.cif,0
4320780.cif,0
4279899.cif,0
4279299.cif,0
4279221.cif,0
4280637.cif,0.464
4281477.cif,0
4283454.cif,0
4290825.cif,0
4280082.cif,0
4282692.cif,0
4278951.cif,0
4354344.cif,0
4278717.cif,0
4278528.cif,0
4278108.cif,1.725
4278192.cif,0
4279044.cif,0
4815852.cif,0
4280658.cif,0
4300293.cif,0
4277487.cif,0
4279992.cif,0
4281330.cif,0
4280517.cif,0
4279683.cif,0
4280352.cif,0
4278792.cif,0
4285179.cif,0
4281252.cif,0
4279293.cif,0
4282023.cif,0
4289121.cif,0
4279062.cif,0
4278639.cif,0
4279191.cif,0
4183509.cif,0
4279845.cif,0
4278012.cif,0
4860108.cif,0
4279371.cif,1.666
4277481.cif,0
4279131.cif,0
4861659.cif,0
4279200.cif,0
4278726.cif,0
4281528.cif,0
4285275.cif,0
4282494.cif,2.113
4321833.cif,2.876
4278945.cif,0
4279782.cif,0
4280844.cif,1.128
4278534.cif,0
4860114.cif,1.71
4283352.cif,1.71
4284129.cif,0
4280469.cif,0
4337343.cif,0
4277505.cif,0
4279443.cif,0
4815969.cif,0
4281930.cif,3.027
4280628.cif,0
4298937.cif,0
4287090.cif,0
4861197.cif,0
4879107.cif,0
4280547.cif,0
4279320.cif,0
4321458.cif,0
4279938.cif,0
4285056.cif,0
4281366.cif,0
4280850.cif,0
4279140.cif,0
4283076.cif,0
4279620.cif,3.687
4318572.cif,0
4279890.cif,0
4860459.cif,0
4279800.cif,0
4280232.cif,0
4280619.cif,0
4280538.cif,0
4280394.cif,0
4183614.cif,0
4284873.cif,0
4293924.cif,0
4321131.cif,0
4280529.cif,2.574
4336380.cif,0
4293246.cif,0
4336368.cif,1.635
4280037.cif,0
4279722.cif,0
4283085.cif,0
4282413.cif,0
4279611.cif,0
4337238.cif,0
4284396.cif,0
4319574.cif,0
4283802.cif,0
4861173.cif,0
4280562.cif,0.69
4279710.cif,0
4282722.cif,0
4278786.cif,0
4860531.cif,0
4279731.cif,0
4281804.cif,0
4280346.cif,0
4280295.cif,0
4320720.cif,0
4280208.cif,0
4278327.cif,0
4280001.cif,0
4281546.cif,0
4280892.cif,0
4281384.cif,0
4282503.cif,0
4319865.cif,0
4320258.cif,0
4285578.cif,0
4815870.cif,0
4285203.cif,0
4279380.cif,0
4283817.cif,0
4278042.cif,0
4282683.cif,0
4281129.cif,0
4280412.cif,0
4815960.cif,0
4280697.cif,0
4281579.cif,0
4282386.cif,0
4282257.cif,0
4280643.cif,0
4278888.cif,0
4281273.cif,0
4280799.cif,0
4815936.cif,0
4184946.cif,0
4280595.cif,0
4282584.cif,0
4281402.cif,0
4285500.cif,0
4285158.cif,0
4280556.cif,0
4322808.cif,0
4289082.cif,0
4281519.cif,0
4281672.cif,0
4279338.cif,0
4280937.cif,0
4279923.cif,0
4285971.cif,0
4285236.cif,0
4281921.cif,0
4279929.cif,0
4278201.cif,0
4282164.cif,1.365
4281486.cif,0
4816353.cif,0
4279458.cif,0
4861200.cif,0
4285506.cif,0
4278435.cif,0
4280028.cif,0
4282764.cif,0
4280808.cif,0
4280133.cif,0
4281882.cif,0.479
4322016.cif,0
4278810.cif,0
4287855.cif,0
4282293.cif,0
4282443.cif,0
4183695.cif,0
4280367.cif,0
4283562.cif,0
4282404.cif,0
4281495.cif,0
4281417.cif,0
4320243.cif,0
4281243.cif,0
4280007.cif,0
4285734.cif,1.024
4285065.cif,0
4281951.cif,0
4281435.cif,0
4282422.cif,0
4281738.cif,0
4280247.cif,0
4282980.cif,0
4319019.cif,0
4281351.cif,0
4280430.cif,0
4184481.cif,0
4279329.cif,0
4280772.cif,0
4279641.cif,0
4280571.cif,0
4279071.cif,0
4281015.cif,0
4285893.cif,1.406
4284630.cif,0
4283865.cif,0
4326144.cif,0
4284018.cif,0
4285287.cif,0
4282269.cif,0
4326192.cif,0
4280238.cif,0
4337151.cif,0
4281864.cif,0
4282122.cif,0.497
4279467.cif,0
4282380.cif,0
4280139.cif,0
4280667.cif,0
4183620.cif,0
4281054.cif,0
4281657.cif,0
4280436.cif,0
4280157.cif,0
4861473.cif,0
4285038.cif,0
4280883.cif,0
4816635.cif,0
4281774.cif,0
4281639.cif,0
4282080.cif,0.879
4281537.cif,0
4280304.cif,0
4860513.cif,0
4281648.cif,0
4860141.cif,0
4278831.cif,0
4281360.cif,0
4280580.cif,0
4280148.cif,0
4282395.cif,0
4280946.cif,0
4321692.cif,0
4321089.cif,0
4282134.cif,0
4280706.cif,0
4281690.cif,0
4280316.cif,0
4337130.cif,0
4281153.cif,0
4278756.cif,0
4280091.cif,0
4285245.cif,0
4279347.cif,0
4280691.cif,0
4295637.cif,0
4861464.cif,0
4279491.cif,3.197
4279416.cif,0
4280868.cif,0
4279005.cif,0
4291359.cif,0
4280874.cif,0
4322598.cif,0
