id,e_form
perov_99.cif,2.38
perov_100.cif,1.08
perov_101.cif,1.48
perov_102.cif,1.02
perov_103.cif,0.42
perov_104.cif,1.64
perov_105.cif,2.58
perov_106.cif,0.62
perov_107.cif,1.7
perov_108.cif,2.8
perov_109.cif,1.54
perov_110.cif,1.62
perov_111.cif,1.0
perov_112.cif,1.98
perov_113.cif,1.96
perov_114.cif,1.3
perov_115.cif,1.04
perov_116.cif,1.3
perov_117.cif,2.18
perov_118.cif,1.06
perov_119.cif,1.7
perov_120.cif,0.7
perov_121.cif,2.18
perov_122.cif,0.94
perov_123.cif,1.0
perov_124.cif,1.1
perov_125.cif,0.54
perov_126.cif,1.38
perov_127.cif,0.48
perov_128.cif,1.9
perov_129.cif,1.78
perov_130.cif,1.02
perov_131.cif,1.92
perov_132.cif,1.02
perov_133.cif,1.14
perov_134.cif,0.56
perov_135.cif,1.5
perov_136.cif,1.5
perov_137.cif,1.6
perov_138.cif,0.44
perov_139.cif,3.26
perov_140.cif,0.88
perov_141.cif,1.42
perov_142.cif,2.02
perov_143.cif,3.14
perov_144.cif,2.52
perov_145.cif,1.1
perov_146.cif,2.4
perov_147.cif,1.36
perov_148.cif,2.24
perov_149.cif,2.22
perov_150.cif,1.26
perov_151.cif,0.66
perov_152.cif,1.0
perov_153.cif,1.44
perov_154.cif,1.64
perov_155.cif,1.28
perov_156.cif,1.46
perov_157.cif,1.78
perov_158.cif,2.48
perov_159.cif,2.16
perov_160.cif,1.78
perov_161.cif,3.9
perov_162.cif,0.64
perov_163.cif,1.1
perov_164.cif,1.86
perov_165.cif,1.4
perov_166.cif,1.44
perov_167.cif,2.62
perov_168.cif,1.14
perov_169.cif,-0.04
perov_170.cif,1.92
perov_171.cif,0.72
perov_172.cif,0.9
perov_173.cif,0.44
perov_174.cif,1.52
perov_175.cif,2.02
perov_176.cif,1.12
perov_177.cif,0.88
perov_178.cif,1.2
perov_179.cif,3.44
perov_180.cif,1.36
perov_181.cif,0.66
perov_182.cif,1.7
perov_183.cif,2.02
perov_184.cif,1.06
perov_185.cif,1.24
perov_186.cif,2.46
perov_187.cif,2.52
perov_188.cif,2.54
perov_189.cif,3.08
perov_190.cif,1.84
perov_191.cif,1.26
perov_192.cif,0.9
perov_193.cif,1.52
perov_194.cif,2.32
perov_195.cif,1.18
perov_196.cif,1.26
perov_197.cif,1.24
perov_198.cif,1.46
perov_199.cif,1.48
perov_200.cif,2.18
perov_201.cif,1.26
perov_202.cif,1.88
perov_203.cif,0.7
perov_204.cif,4.18
perov_205.cif,1.18
perov_206.cif,1.1
perov_207.cif,1.64
perov_208.cif,1.02
perov_209.cif,0.68
perov_210.cif,1.18
perov_211.cif,2.1
perov_212.cif,1.46
perov_213.cif,3.54
perov_214.cif,1.92
perov_215.cif,0.68
perov_216.cif,0.88
perov_217.cif,1.42
perov_218.cif,0.54
perov_219.cif,0.56
perov_220.cif,0.92
perov_221.cif,0.58
perov_222.cif,1.16
perov_223.cif,0.8
perov_224.cif,0.64
perov_225.cif,1.22
perov_226.cif,1.4
perov_227.cif,0.26
perov_228.cif,0.82
perov_229.cif,1.52
perov_230.cif,1.54
perov_231.cif,-0.06
perov_232.cif,1.36
perov_233.cif,0.98
perov_234.cif,2.04
perov_235.cif,1.36
perov_236.cif,3.96
perov_237.cif,0.8
perov_238.cif,1.4
perov_239.cif,1.62
perov_240.cif,1.82
perov_241.cif,0.8
perov_242.cif,1.98
perov_243.cif,0.78
perov_244.cif,1.32
perov_245.cif,2.8
perov_246.cif,1.5
perov_247.cif,0.84
perov_248.cif,1.08
perov_249.cif,1.74
perov_250.cif,0.54
perov_251.cif,0.14
perov_252.cif,1.16
perov_253.cif,-0.26
perov_254.cif,2.26
perov_255.cif,2.14
perov_256.cif,1.08
perov_257.cif,1.28
perov_258.cif,1.2
perov_259.cif,1.4
perov_260.cif,0.78
perov_261.cif,0.92
perov_262.cif,1.06
perov_263.cif,1.18
perov_264.cif,2.56
perov_265.cif,0.4
perov_266.cif,1.04
perov_267.cif,1.44
perov_268.cif,0.16
perov_269.cif,0.74
perov_270.cif,1.14
perov_271.cif,1.66
perov_272.cif,3.44
perov_273.cif,0.92
perov_274.cif,3.14
perov_275.cif,1.14
perov_276.cif,2.1
perov_277.cif,1.54
perov_278.cif,1.94
perov_279.cif,1.7
perov_280.cif,2.2
perov_281.cif,0.8
perov_282.cif,1.96
perov_283.cif,1.66
perov_284.cif,0.54
perov_285.cif,1.36
perov_286.cif,1.14
perov_287.cif,0.82
perov_288.cif,0.98
perov_289.cif,1.02
perov_290.cif,1.22
perov_291.cif,2.66
perov_292.cif,0.48
perov_293.cif,1.54
perov_294.cif,0.84
perov_295.cif,1.2
perov_296.cif,2.1
perov_297.cif,3.2
perov_298.cif,0.94
perov_299.cif,0.64
perov_300.cif,1.06
perov_301.cif,0.86
perov_302.cif,3.66
perov_303.cif,0.9
perov_304.cif,1.38
perov_305.cif,0.8
perov_306.cif,2.72
perov_307.cif,0.96
perov_308.cif,2.1
perov_309.cif,0.32
perov_310.cif,2.04
perov_311.cif,3.84
perov_312.cif,1.36
perov_313.cif,0.82
perov_314.cif,1.26
perov_315.cif,1.6
perov_316.cif,0.3
perov_317.cif,1.34
perov_318.cif,1.44
perov_319.cif,0.4
perov_320.cif,1.66
perov_321.cif,1.74
perov_322.cif,1.62
perov_323.cif,0.42
perov_324.cif,1.16
perov_325.cif,1.64
perov_326.cif,0.32
perov_327.cif,1.18
perov_328.cif,1.88
perov_329.cif,1.28
perov_330.cif,1.84
perov_331.cif,2.24
perov_332.cif,1.68
perov_333.cif,1.4
perov_334.cif,0.26
perov_335.cif,2.1
perov_336.cif,1.84
perov_337.cif,0.78
perov_338.cif,1.72
perov_339.cif,1.72
perov_340.cif,-0.02
perov_341.cif,1.08
perov_342.cif,3.92
perov_343.cif,1.26
perov_344.cif,1.46
perov_345.cif,1.22
perov_346.cif,1.16
perov_347.cif,0.82
perov_348.cif,0.68
perov_349.cif,0.64
perov_350.cif,0.9
perov_351.cif,1.62
perov_352.cif,1.26
perov_353.cif,2.32
perov_354.cif,1.82
perov_355.cif,1.44
perov_356.cif,1.22
perov_357.cif,2.12
perov_358.cif,1.0
perov_359.cif,1.6
perov_360.cif,0.98
perov_361.cif,0.8
perov_362.cif,0.38
perov_363.cif,2.08
perov_364.cif,1.54
perov_365.cif,1.38
perov_366.cif,0.5
perov_367.cif,1.46
perov_368.cif,1.94
perov_369.cif,0.92
perov_370.cif,1.86
perov_371.cif,0.56
perov_372.cif,1.48
perov_373.cif,1.9
perov_374.cif,1.28
perov_375.cif,2.1
perov_376.cif,1.9
perov_377.cif,1.44
perov_378.cif,2.44
perov_379.cif,2.4
perov_380.cif,2.28
perov_381.cif,2.3
perov_382.cif,1.96
perov_383.cif,1.08
perov_384.cif,1.06
perov_385.cif,1.32
perov_386.cif,0.8
perov_387.cif,2.02
perov_388.cif,1.54
perov_389.cif,1.78
perov_390.cif,2.02
perov_391.cif,0.42
perov_392.cif,1.84
perov_393.cif,1.12
perov_394.cif,3.5
perov_395.cif,1.64
perov_396.cif,1.74
perov_397.cif,0.62
perov_398.cif,3.84
perov_399.cif,1.02
perov_400.cif,4.22
perov_401.cif,0.88
perov_402.cif,2.3
perov_403.cif,2.24
perov_404.cif,0.98
perov_405.cif,1.96
perov_406.cif,0.68
perov_407.cif,1.26
perov_408.cif,1.24
perov_409.cif,1.42
perov_410.cif,1.0
perov_411.cif,1.58
perov_412.cif,2.86
perov_413.cif,1.2
perov_414.cif,1.46
perov_415.cif,1.52
perov_416.cif,2.64
perov_417.cif,1.5
perov_418.cif,1.26
perov_419.cif,3.06
perov_420.cif,0.8
perov_421.cif,1.06
perov_422.cif,1.36
perov_423.cif,0.98
perov_424.cif,1.9
perov_425.cif,1.26
perov_426.cif,1.6
perov_427.cif,2.0
perov_428.cif,2.52
perov_429.cif,0.8
perov_430.cif,1.36
perov_431.cif,1.64
perov_432.cif,0.84
perov_433.cif,2.32
perov_434.cif,0.82
perov_435.cif,0.64
perov_436.cif,0.92
perov_437.cif,1.24
perov_438.cif,1.3
perov_439.cif,2.56
perov_440.cif,2.18
perov_441.cif,1.32
perov_442.cif,1.9
perov_443.cif,1.9
perov_444.cif,0.36
perov_445.cif,2.3
perov_446.cif,1.72
perov_447.cif,0.56
perov_448.cif,1.58
perov_449.cif,1.92
perov_450.cif,1.2
perov_451.cif,2.44
perov_452.cif,1.44
perov_453.cif,0.76
perov_454.cif,1.82
perov_455.cif,2.9
perov_456.cif,2.86
perov_457.cif,1.74
perov_458.cif,1.22
perov_459.cif,0.58
perov_460.cif,1.0
perov_461.cif,1.48
perov_462.cif,0.8
perov_463.cif,0.42
perov_464.cif,1.18
perov_465.cif,1.84
perov_466.cif,1.66
perov_467.cif,0.08
perov_468.cif,2.16
perov_469.cif,1.24
perov_470.cif,0.84
perov_471.cif,0.94
perov_472.cif,0.84
perov_473.cif,1.3
perov_474.cif,1.56
perov_475.cif,0.56
perov_476.cif,0.72
perov_477.cif,0.8
perov_478.cif,1.88
perov_479.cif,1.26
perov_480.cif,1.36
perov_481.cif,4.2
perov_482.cif,1.44
perov_483.cif,1.58
perov_484.cif,1.26
perov_485.cif,0.84
perov_486.cif,1.04
perov_487.cif,0.6
perov_488.cif,1.6
perov_489.cif,3.26
perov_490.cif,1.36
perov_491.cif,1.78
perov_492.cif,1.84
perov_493.cif,1.4
perov_494.cif,3.42
perov_495.cif,0.9
perov_496.cif,2.04
perov_497.cif,1.08
perov_498.cif,1.74
perov_499.cif,1.92
perov_500.cif,1.96
perov_501.cif,1.62
perov_502.cif,0.76
perov_503.cif,0.22
perov_504.cif,1.26
perov_505.cif,1.26
perov_506.cif,2.22
perov_507.cif,1.42
perov_508.cif,0.94
perov_509.cif,1.98
perov_510.cif,1.56
perov_511.cif,1.24
perov_512.cif,-0.2
perov_513.cif,0.5
perov_514.cif,1.2
perov_515.cif,0.32
perov_516.cif,0.68
perov_517.cif,1.84
perov_518.cif,0.84
perov_519.cif,1.0
perov_520.cif,-0.04
perov_521.cif,1.3
perov_522.cif,1.72
perov_523.cif,1.54
perov_524.cif,1.1
perov_525.cif,1.18
perov_526.cif,1.88
perov_527.cif,0.94
perov_528.cif,1.04
perov_529.cif,1.38
perov_530.cif,3.5
perov_531.cif,0.5
perov_532.cif,1.78
perov_533.cif,1.16
perov_534.cif,2.18
perov_535.cif,1.16
perov_536.cif,0.68
perov_537.cif,1.3
perov_538.cif,2.28
perov_539.cif,1.1
perov_540.cif,2.28
perov_541.cif,1.0
perov_542.cif,2.46
perov_543.cif,1.16
perov_544.cif,1.8
perov_545.cif,1.46
perov_546.cif,1.8
perov_547.cif,3.32
perov_548.cif,0.82
perov_549.cif,0.88
perov_550.cif,1.84
perov_551.cif,3.94
perov_552.cif,1.72
perov_553.cif,2.56
perov_554.cif,0.9
perov_555.cif,0.4
perov_556.cif,1.52
perov_557.cif,2.04
perov_558.cif,1.26
perov_559.cif,2.6
perov_560.cif,1.0
perov_561.cif,0.28
perov_562.cif,0.46
perov_563.cif,1.62
perov_564.cif,1.26
perov_565.cif,1.12
perov_566.cif,0.94
perov_567.cif,2.68
perov_568.cif,1.32
perov_569.cif,0.88
perov_570.cif,0.6
perov_571.cif,1.16
perov_572.cif,1.62
perov_573.cif,1.22
perov_574.cif,1.14
perov_575.cif,0.46
perov_576.cif,2.2
perov_577.cif,0.1
perov_578.cif,1.28
perov_579.cif,2.6
perov_580.cif,1.62
perov_581.cif,1.9
perov_582.cif,3.54
perov_583.cif,0.88
perov_584.cif,1.78
perov_585.cif,1.86
perov_586.cif,1.28
perov_587.cif,1.04
perov_588.cif,0.2
perov_589.cif,1.1
perov_590.cif,1.6
perov_591.cif,0.4
perov_592.cif,0.96
perov_593.cif,1.68
perov_594.cif,2.14
perov_595.cif,1.66
perov_596.cif,1.58
perov_597.cif,1.62
perov_598.cif,2.08
perov_599.cif,1.2
perov_600.cif,1.8
perov_601.cif,1.68
perov_602.cif,1.52
perov_603.cif,1.38
perov_604.cif,2.44
perov_605.cif,1.04
perov_606.cif,1.48
perov_607.cif,0.28
perov_608.cif,1.4
perov_609.cif,2.08
perov_610.cif,0.88
perov_611.cif,3.48
perov_612.cif,1.28
perov_613.cif,3.3
perov_614.cif,2.66
perov_615.cif,1.26
perov_616.cif,-0.06
perov_617.cif,0.76
perov_618.cif,0.72
perov_619.cif,1.7
perov_620.cif,1.28
perov_621.cif,1.5
perov_622.cif,2.4
perov_623.cif,1.28
perov_624.cif,0.58
perov_625.cif,0.92
perov_626.cif,1.52
perov_627.cif,1.44
perov_628.cif,1.98
perov_629.cif,0.6
perov_630.cif,1.84
perov_631.cif,1.8
perov_632.cif,0.84
perov_633.cif,1.02
perov_634.cif,0.72
perov_635.cif,0.96
perov_636.cif,1.88
perov_637.cif,0.82
perov_638.cif,0.94
perov_639.cif,1.78
perov_640.cif,2.12
perov_641.cif,1.3
perov_642.cif,1.02
perov_643.cif,0.48
perov_644.cif,1.26
perov_645.cif,1.92
perov_646.cif,0.6
perov_647.cif,0.16
perov_648.cif,2.32
perov_649.cif,0.68
perov_650.cif,2.5
perov_651.cif,2.28
perov_652.cif,1.34
perov_653.cif,0.92
perov_654.cif,1.16
perov_655.cif,1.24
perov_656.cif,1.0
perov_657.cif,1.26
perov_658.cif,1.7
perov_659.cif,1.6
perov_660.cif,1.2
perov_661.cif,0.1
perov_662.cif,1.54
perov_663.cif,0.74
perov_664.cif,1.82
perov_665.cif,2.5
perov_666.cif,2.04
perov_667.cif,2.02
perov_668.cif,1.28
perov_669.cif,1.32
perov_670.cif,0.62
perov_671.cif,1.84
perov_672.cif,2.5
perov_673.cif,1.58
perov_674.cif,1.04
perov_675.cif,3.02
perov_676.cif,3.44
perov_677.cif,0.68
perov_678.cif,0.9
perov_679.cif,1.0
perov_680.cif,1.74
perov_681.cif,2.04
perov_682.cif,0.76
perov_683.cif,0.84
perov_684.cif,1.48
perov_685.cif,1.38
perov_686.cif,1.24
perov_687.cif,2.4
perov_688.cif,0.76
perov_689.cif,1.18
perov_690.cif,0.88
perov_691.cif,1.94
perov_692.cif,1.94
perov_693.cif,0.52
perov_694.cif,0.98
perov_695.cif,2.46
perov_696.cif,2.02
perov_697.cif,1.02
perov_698.cif,0.76
perov_699.cif,1.18
perov_700.cif,0.76
perov_701.cif,3.26
perov_702.cif,1.24
perov_703.cif,1.64
perov_704.cif,1.14
perov_705.cif,1.0
perov_706.cif,1.8
perov_707.cif,0.64
perov_708.cif,0.88
perov_709.cif,2.0
perov_710.cif,2.08
perov_711.cif,2.9
perov_712.cif,1.44
perov_713.cif,1.46
perov_714.cif,1.52
perov_715.cif,1.98
perov_716.cif,1.86
perov_717.cif,1.56
perov_718.cif,0.94
perov_719.cif,1.9
perov_720.cif,1.36
perov_721.cif,2.1
perov_722.cif,1.86
perov_723.cif,3.02
perov_724.cif,1.14
perov_725.cif,1.52
perov_726.cif,0.64
perov_727.cif,3.24
perov_728.cif,1.9
perov_729.cif,0.5
perov_730.cif,1.68
perov_731.cif,0.88
perov_732.cif,0.4
perov_733.cif,2.86
perov_734.cif,1.32
perov_735.cif,0.8
perov_736.cif,1.8
perov_737.cif,1.4
perov_738.cif,2.06
perov_739.cif,0.36
perov_740.cif,1.7
perov_741.cif,1.64
perov_742.cif,0.6
perov_743.cif,1.64
perov_744.cif,1.28
perov_745.cif,1.38
perov_746.cif,1.6
perov_747.cif,0.16
perov_748.cif,1.38
perov_749.cif,1.24
perov_750.cif,1.72
perov_751.cif,1.38
perov_752.cif,0.52
perov_753.cif,0.52
perov_754.cif,1.3
perov_755.cif,1.56
perov_756.cif,1.38
perov_757.cif,1.6
perov_758.cif,0.92
perov_759.cif,2.9
perov_760.cif,1.64
perov_761.cif,1.12
perov_762.cif,1.42
perov_763.cif,0.24
perov_764.cif,0.86
perov_765.cif,3.42
perov_766.cif,1.88
perov_767.cif,1.58
perov_768.cif,0.98
perov_769.cif,1.0
perov_770.cif,1.28
perov_771.cif,3.02
perov_772.cif,2.32
perov_773.cif,1.42
perov_774.cif,0.82
perov_775.cif,1.68
perov_776.cif,1.7
perov_777.cif,1.12
perov_778.cif,1.04
perov_779.cif,1.64
perov_780.cif,1.18
perov_781.cif,1.5
perov_782.cif,1.16
perov_783.cif,2.34
perov_784.cif,0.3
perov_785.cif,-0.32
perov_786.cif,0.52
perov_787.cif,3.56
perov_788.cif,3.04
perov_789.cif,2.34
perov_790.cif,2.16
perov_791.cif,1.12
perov_792.cif,1.44
perov_793.cif,1.24
perov_794.cif,1.5
perov_795.cif,0.56
perov_796.cif,1.2
perov_797.cif,2.92
perov_798.cif,3.48
perov_799.cif,1.68
perov_800.cif,1.42
perov_801.cif,1.28
perov_802.cif,1.9
perov_803.cif,1.12
perov_804.cif,1.38
perov_805.cif,1.18
perov_806.cif,0.62
perov_807.cif,2.48
perov_808.cif,1.7
perov_809.cif,1.66
perov_810.cif,1.24
perov_811.cif,1.12
perov_812.cif,0.48
perov_813.cif,3.44
perov_814.cif,0.88
perov_815.cif,2.0
perov_816.cif,1.06
perov_817.cif,0.56
perov_818.cif,1.08
perov_819.cif,1.34
perov_820.cif,1.5
perov_821.cif,1.44
perov_822.cif,0.9
perov_823.cif,2.0
perov_824.cif,1.92
perov_825.cif,1.42
perov_826.cif,1.5
perov_827.cif,1.88
perov_828.cif,2.26
perov_829.cif,1.08
perov_830.cif,1.02
perov_831.cif,0.64
perov_832.cif,1.24
perov_833.cif,1.06
perov_834.cif,1.82
perov_835.cif,3.18
perov_836.cif,0.86
perov_837.cif,1.0
perov_838.cif,0.98
perov_839.cif,3.8
perov_840.cif,0.98
perov_841.cif,1.26
perov_842.cif,1.12
perov_843.cif,0.74
perov_844.cif,1.14
perov_845.cif,0.98
perov_846.cif,1.06
perov_847.cif,1.72
perov_848.cif,1.16
perov_849.cif,1.38
perov_850.cif,1.14
perov_851.cif,3.48
perov_852.cif,2.46
perov_853.cif,2.18
perov_854.cif,0.64
perov_855.cif,1.06
perov_856.cif,1.4
perov_857.cif,1.74
perov_858.cif,1.04
perov_859.cif,2.22
perov_860.cif,0.82
perov_861.cif,1.02
perov_862.cif,2.84
perov_863.cif,1.58
perov_864.cif,3.92
perov_865.cif,1.28
perov_866.cif,1.7
perov_867.cif,1.7
perov_868.cif,1.2
perov_869.cif,1.52
perov_870.cif,0.58
perov_871.cif,1.48
perov_872.cif,0.8
perov_873.cif,0.42
perov_874.cif,1.22
perov_875.cif,1.64
perov_876.cif,1.02
perov_877.cif,1.44
perov_878.cif,2.66
perov_879.cif,0.78
perov_880.cif,1.72
perov_881.cif,0.62
perov_882.cif,1.96
perov_883.cif,1.8
perov_884.cif,1.58
perov_885.cif,0.78
perov_886.cif,0.88
perov_887.cif,0.82
perov_888.cif,1.24
perov_889.cif,1.5
perov_890.cif,0.56
perov_891.cif,1.02
perov_892.cif,1.46
perov_893.cif,1.38
perov_894.cif,1.58
perov_895.cif,3.68
perov_896.cif,1.46
perov_897.cif,1.1
perov_898.cif,1.44
perov_899.cif,0.66
perov_900.cif,0.88
perov_901.cif,1.58
perov_902.cif,1.92
perov_903.cif,1.0
perov_904.cif,1.66
perov_905.cif,1.48
perov_906.cif,0.7
perov_907.cif,1.16
perov_908.cif,1.32
perov_909.cif,1.68
perov_910.cif,1.22
perov_911.cif,2.04
perov_912.cif,2.66
perov_913.cif,1.18
perov_914.cif,2.1
perov_915.cif,0.94
perov_916.cif,0.62
perov_917.cif,1.8
perov_918.cif,1.84
perov_919.cif,1.44
perov_920.cif,1.02
perov_921.cif,1.9
perov_922.cif,2.58
perov_923.cif,1.86
perov_924.cif,2.88
perov_925.cif,1.1
perov_926.cif,1.9
perov_927.cif,0.32
perov_928.cif,0.66
perov_929.cif,1.48
perov_930.cif,1.94
perov_931.cif,1.2
perov_932.cif,1.78
perov_933.cif,2.72
perov_934.cif,1.1
perov_935.cif,2.12
perov_936.cif,0.84
perov_937.cif,0.82
perov_938.cif,1.56
perov_939.cif,1.38
perov_940.cif,0.72
perov_941.cif,1.42
perov_942.cif,2.02
perov_943.cif,0.16
perov_944.cif,1.1
perov_945.cif,2.02
perov_946.cif,1.74
perov_947.cif,1.54
perov_948.cif,0.7
perov_949.cif,0.9
perov_950.cif,1.0
perov_951.cif,1.88
perov_952.cif,0.68
perov_953.cif,1.4
perov_954.cif,1.5
perov_955.cif,1.32
perov_956.cif,1.08
perov_957.cif,4.08
perov_958.cif,1.4
perov_959.cif,1.04
perov_960.cif,1.12
perov_961.cif,2.76
perov_962.cif,1.7
perov_963.cif,1.62
perov_964.cif,1.52
perov_965.cif,1.94
perov_966.cif,1.72
perov_967.cif,1.58
perov_968.cif,1.98
perov_969.cif,2.14
perov_970.cif,1.28
perov_971.cif,2.2
perov_972.cif,1.42
perov_973.cif,3.72
perov_974.cif,0.22
perov_975.cif,0.94
perov_976.cif,1.0
perov_977.cif,1.24
perov_978.cif,1.58
perov_979.cif,2.3
perov_980.cif,1.42
perov_981.cif,1.62
perov_982.cif,0.52
perov_983.cif,0.78
perov_984.cif,2.22
perov_985.cif,2.66
perov_986.cif,1.66
perov_987.cif,2.86
perov_988.cif,1.44
perov_989.cif,1.58
perov_990.cif,1.36
perov_991.cif,1.36
perov_992.cif,2.46
perov_993.cif,1.02
perov_994.cif,3.76
perov_995.cif,0.68
perov_996.cif,1.28
perov_997.cif,1.4
perov_998.cif,2.6
perov_999.cif,1.5
perov_1000.cif,0.52
perov_1001.cif,0.86
perov_1002.cif,0.7
perov_1003.cif,0.98
perov_1004.cif,0.72
perov_1005.cif,0.54
perov_1006.cif,3.12
perov_1007.cif,1.16
perov_1008.cif,1.14
perov_1009.cif,2.66
perov_1010.cif,2.3
perov_1011.cif,3.42
perov_1012.cif,1.02
perov_1013.cif,3.7
perov_1014.cif,2.52
perov_1015.cif,3.1
perov_1016.cif,2.6
perov_1017.cif,0.98
perov_1018.cif,1.52
perov_1019.cif,0.38
perov_1020.cif,0.72
perov_1021.cif,2.02
perov_1022.cif,1.14
perov_1023.cif,1.46
perov_1024.cif,1.3
perov_1025.cif,0.78
perov_1026.cif,2.56
perov_1027.cif,1.38
perov_1028.cif,1.2
perov_1029.cif,1.22
perov_1030.cif,0.84
perov_1031.cif,1.56
perov_1032.cif,0.84
perov_1033.cif,0.82
perov_1034.cif,0.72
perov_1035.cif,1.28
perov_1036.cif,0.96
perov_1037.cif,2.62
perov_1038.cif,1.36
perov_1039.cif,1.46
perov_1040.cif,2.62
perov_1041.cif,1.6
perov_1042.cif,0.14
perov_1043.cif,0.32
perov_1044.cif,0.68
perov_1045.cif,0.64
perov_1046.cif,1.64
perov_1047.cif,1.04
perov_1048.cif,3.96
perov_1049.cif,0.88
perov_1050.cif,1.18
perov_1051.cif,1.1
perov_1052.cif,0.52
perov_1053.cif,1.62
perov_1054.cif,1.82
perov_1055.cif,2.5
perov_1056.cif,0.76
perov_1057.cif,1.86
perov_1058.cif,1.2
perov_1059.cif,0.96
perov_1060.cif,0.88
perov_1061.cif,0.7
perov_1062.cif,0.68
perov_1063.cif,1.36
perov_1064.cif,1.62
perov_1065.cif,1.46
perov_1066.cif,1.24
perov_1067.cif,1.1
perov_1068.cif,1.86
perov_1069.cif,0.74
perov_1070.cif,0.78
perov_1071.cif,1.6
perov_1072.cif,1.3
perov_1073.cif,1.4
perov_1074.cif,1.42
perov_1075.cif,1.16
perov_1076.cif,1.94
perov_1077.cif,1.56
perov_1078.cif,1.74
perov_1079.cif,0.6
perov_1080.cif,1.44
perov_1081.cif,2.08
perov_1082.cif,1.68
perov_1083.cif,1.42
perov_1084.cif,2.42
perov_1085.cif,2.74
perov_1086.cif,0.6
perov_1087.cif,0.9
perov_1088.cif,1.08
perov_1089.cif,0.18
perov_1090.cif,1.12
perov_1091.cif,0.96
perov_1092.cif,0.9
perov_1093.cif,1.68
perov_1094.cif,1.72
perov_1095.cif,0.96
perov_1096.cif,0.5
perov_1097.cif,1.36
perov_1098.cif,0.8
perov_1099.cif,1.8
perov_1100.cif,2.62
perov_1101.cif,1.02
perov_1102.cif,1.34
perov_1103.cif,1.22
perov_1104.cif,1.3
perov_1105.cif,0.38
perov_1106.cif,1.42
perov_1107.cif,1.02
perov_1108.cif,0.8
perov_1109.cif,1.7
perov_1110.cif,2.12
perov_1111.cif,1.4
perov_1112.cif,1.02
perov_1113.cif,1.06
perov_1114.cif,1.02
perov_1115.cif,0.86
perov_1116.cif,1.58
perov_1117.cif,1.18
perov_1118.cif,1.6
perov_1119.cif,1.06
perov_1120.cif,0.5
perov_1121.cif,1.0
perov_1122.cif,0.48
perov_1123.cif,3.08
perov_1124.cif,0.82
perov_1125.cif,0.56
perov_1126.cif,1.28
perov_1127.cif,0.78
perov_1128.cif,1.36
perov_1129.cif,2.06
perov_1130.cif,1.26
perov_1131.cif,0.2
perov_1132.cif,1.3
perov_1133.cif,0.64
perov_1134.cif,2.0
perov_1135.cif,0.6
perov_1136.cif,1.58
perov_1137.cif,1.26
perov_1138.cif,0.5
perov_1139.cif,1.38
perov_1140.cif,1.16
perov_1141.cif,1.12
perov_1142.cif,0.14
perov_1143.cif,1.5
perov_1144.cif,2.02
perov_1145.cif,2.62
perov_1146.cif,1.06
perov_1147.cif,2.66
perov_1148.cif,1.24
perov_1149.cif,1.46
perov_1150.cif,0.92
perov_1151.cif,1.44
