id,formation_energy
4069416.cif,-0.6284
4069950.cif,-0.3582
4069713.cif,-0.1793
4069278.cif,-1.9895
4070163.cif,-0.2594
4072509.cif,-0.1861
4071108.cif,-0.4843
4071345.cif,-0.3195
4071234.cif,0.0508
4072536.cif,-0.5082
4071543.cif,-0.0085
4072545.cif,-0.2932
4071405.cif,-0.3467
4071390.cif,-0.5262
4071276.cif,-0.6792
4071381.cif,-0.6501
4071360.cif,-0.6875
4079751.cif,-0.3019
4072593.cif,-0.431
4071384.cif,-0.5436
4071420.cif,-0.5647
4068639.cif,-1.2025
4069575.cif,-1.1443
4071576.cif,-0.1916
4071507.cif,-0.7127
4435056.cif,2.2588
4070052.cif,-2.7284
4068882.cif,-3.0786
4071135.cif,-3.3386
4070010.cif,-0.831
4071102.cif,-1.5735
4071009.cif,-1.3271
4071045.cif,-0.948
4068660.cif,-1.704
4068873.cif,-1.8426
4068810.cif,-1.68
4070022.cif,-1.9784
4070814.cif,-1.0752
4070079.cif,-2.609
4069005.cif,-0.8124
4434426.cif,-2.0962
4069665.cif,-2.09
4069017.cif,-3.2867
4070556.cif,-0.9506
4069119.cif,-0.7712
4072113.cif,-1.4868
4071771.cif,-1.3291
4093236.cif,-1.3472
4093020.cif,-1.3869
4070382.cif,-0.1884
4070310.cif,-0.2736
4070313.cif,-0.3545
4070418.cif,-0.1984
4072281.cif,-0.2041
4072179.cif,-0.2457
4816497.cif,1.3186
4073802.cif,1.1123
4073853.cif,1.3002
4069095.cif,0.0085
4817151.cif,1.6631
4092597.cif,-0.3277
4071549.cif,1.3854
4071369.cif,1.5867
4860258.cif,-0.0747
4863636.cif,-0.3067
4863639.cif,-0.0262
4095840.cif,1.1798
4069368.cif,-0.5183
4070592.cif,1.6105
4070688.cif,1.1791
4092906.cif,1.5954
4071528.cif,1.651
4070901.cif,1.4662
4070964.cif,1.6224
4069374.cif,-0.3315
4069557.cif,0.0427
4070574.cif,1.1791
4071348.cif,1.2016
4071375.cif,1.2064
4070190.cif,-0.5222
4070193.cif,-0.5903
4070757.cif,1.1848
4086837.cif,1.6299
4069758.cif,-0.4894
4071207.cif,1.4172
4070832.cif,1.6026
4070004.cif,0.0842
4092900.cif,1.5884
4070013.cif,-0.53
4071324.cif,1.4515
4070904.cif,1.616
4094544.cif,1.5543
4071639.cif,0.2431
4086453.cif,1.972
4814610.cif,1.896
4070862.cif,2.9288
4097829.cif,1.3243
4086456.cif,-1.8347
4070133.cif,-0.5633
4070076.cif,-0.1437
4072107.cif,-0.0371
4070121.cif,-1.4115
4070550.cif,-0.0202
4817811.cif,1.6401
4070439.cif,-0.3964
4072164.cif,1.3937
4072167.cif,1.5947
4070529.cif,-0.0603
4072182.cif,0.3825
4071090.cif,-0.6823
4078107.cif,2.002
4070202.cif,-2.1901
4070205.cif,-2.2292
4070523.cif,-0.3176
4093476.cif,1.3893
4072293.cif,1.5912
4070466.cif,-0.3662
4070919.cif,-0.5087
4070871.cif,-0.4438
4070646.cif,-0.3734
4070649.cif,-0.5512
4070874.cif,-0.4991
4070679.cif,-0.386
4070727.cif,-0.2653
4071189.cif,-0.0668
4070682.cif,-0.286
4862610.cif,0.1317
4070763.cif,-0.8114
4072398.cif,1.4033
4072404.cif,1.8217
4072407.cif,1.4892
4071003.cif,1.1615
4434495.cif,2.0009
4434648.cif,1.6346
4071291.cif,1.3255
4071099.cif,-1.3599
4071063.cif,-0.8469
4071204.cif,-1.3121
4816875.cif,-0.477
4435863.cif,-0.3277
4094448.cif,-0.3399
4092513.cif,-0.3938
4069233.cif,-0.6326
4070541.cif,-1.225
4435926.cif,-0.9261
4079943.cif,-0.8524
4102551.cif,-0.9183
4072221.cif,-0.6399
4094511.cif,-1.1695
4073823.cif,-1.0187
4072239.cif,-1.047
4070535.cif,-1.0564
4070559.cif,-1.0622
4070487.cif,-1.0662
4070484.cif,-1.0636
4071180.cif,-0.4532
4070304.cif,-2.7952
4069026.cif,-3.1109
4071030.cif,-1.6592
4070892.cif,-1.5442
4070604.cif,-1.4387
4072170.cif,0.9081
4087245.cif,2.3315
4069632.cif,-1.0808
4813266.cif,-0.7885
4069716.cif,-1.1241
4073100.cif,0.8448
4094400.cif,0.5388
4072155.cif,0.7475
4082919.cif,-0.1766
4070775.cif,-0.2001
4862685.cif,-0.0045
4070046.cif,-0.541
4070610.cif,0.1901
4070802.cif,0.3142
4813413.cif,-0.2063
4070979.cif,0.3006
4068708.cif,-2.8487
4068966.cif,-2.5299
4069635.cif,-2.2888
4071300.cif,-2.2921
4071228.cif,-1.743
4071231.cif,-1.5011
4068642.cif,-0.0318
4070061.cif,-0.9694
4070337.cif,-0.9155
4068888.cif,-0.119
4069311.cif,-2.493
4069326.cif,-3.5544
4070025.cif,-3.6853
4070298.cif,-1.9777
4070229.cif,-2.2626
4070232.cif,-1.5727
4070925.cif,-0.0695
4069254.cif,-1.1773
4068615.cif,-2.2943
4072056.cif,-1.7223
4068558.cif,-1.1188
4070097.cif,-3.6172
4068999.cif,-2.7994
4071177.cif,-2.1872
4069854.cif,-0.3856
4072317.cif,-1.5341
4813347.cif,-1.9814
4069296.cif,-0.4741
4069800.cif,-3.471
4069113.cif,-1.7472
4069617.cif,-1.4952
4092855.cif,-2.3395
4070316.cif,-0.1407
4070334.cif,-1.6167
4070469.cif,-3.7093
4087947.cif,-2.597
4070082.cif,-3.4696
4070433.cif,-0.1345
4863666.cif,-0.0621
4070160.cif,-0.2621
4069545.cif,-1.9795
4071060.cif,-2.6332
4092540.cif,-1.6667
4068996.cif,-0.689
4070283.cif,-1.896
4070226.cif,-1.804
4072572.cif,-1.6535
4071306.cif,-1.2027
4863669.cif,0.0177
4070940.cif,-0.115
4072089.cif,0.3437
4071033.cif,0.0971
4816305.cif,-0.2835
4299645.cif,-0.9826
4810530.cif,-0.8263
4814343.cif,2.0436
4813245.cif,-0.2375
4813554.cif,-0.3046
4861188.cif,-1.1129
4812804.cif,-3.2855
4813779.cif,0.7945
4813260.cif,-1.4356
4274448.cif,-0.2784
4274616.cif,-1.5578
4274331.cif,-1.0889
4279230.cif,-2.0744
4274727.cif,-2.8217
4274349.cif,0.4296
4274388.cif,-1.9977
4276233.cif,-1.4065
4274229.cif,-2.6686
4274502.cif,-3.1105
4274643.cif,-3.0164
4274625.cif,-0.0229
4274604.cif,-1.3473
4274670.cif,-0.8717
4314108.cif,-0.9404
4274541.cif,-0.8999
4274160.cif,-1.2383
4274196.cif,-0.3017
4314750.cif,-0.9095
4274496.cif,-1.6711
4274172.cif,-0.684
4274352.cif,-1.6129
4274268.cif,-0.2596
4274601.cif,-1.7632
4274151.cif,-1.4047
4278450.cif,-3.0073
4274559.cif,-1.9476
4314768.cif,-1.6339
4274562.cif,-1.2911
4274178.cif,-0.2288
4274649.cif,-3.2496
4274556.cif,-1.6301
4274292.cif,-0.2522
4274754.cif,-0.9699
4274673.cif,-2.0423
4815867.cif,0.1469
4274400.cif,-2.1688
4274454.cif,-1.931
4274478.cif,-2.0618
4274622.cif,-1.9339
4274439.cif,-0.4977
4861053.cif,0.2285
4274520.cif,-1.4805
4274199.cif,-1.521
4861056.cif,-0.5689
4276998.cif,-1.6612
4337067.cif,-1.826
4274232.cif,-0.1292
4274757.cif,-0.1423
4323900.cif,-2.0661
4315899.cif,-0.8289
4274646.cif,-3.4746
4274391.cif,-1.6437
4274250.cif,-3.3108
4274307.cif,0.351
4314291.cif,-2.1469
4274283.cif,-0.9543
4274202.cif,-0.8518
4183341.cif,-0.798
4313661.cif,-0.6209
4274397.cif,-2.0486
4275984.cif,-1.1624
4274730.cif,-3.123
4279701.cif,-1.8056
4323783.cif,0.0271
4274373.cif,-2.3388
4274469.cif,0.3508
4274271.cif,-3.5543
4274505.cif,-1.7691
4274367.cif,-1.3324
4274781.cif,-0.6626
4319769.cif,1.589
4274337.cif,-0.9968
4274256.cif,-2.6508
4815975.cif,-1.4769
4274226.cif,-0.8582
4276542.cif,-2.0319
4274259.cif,-1.6906
4815939.cif,-1.5798
4274655.cif,-0.6633
4274244.cif,-0.2816
4274535.cif,-2.5514
4274334.cif,-1.5779
4275501.cif,-2.9671
4274247.cif,-1.4509
4274580.cif,-2.2742
4274529.cif,-2.0436
4310433.cif,-0.3143
4274295.cif,-1.1683
4183743.cif,-2.2359
4274430.cif,-0.3504
4274301.cif,0.5526
4183353.cif,-0.936
4274184.cif,-0.9156
4861083.cif,-1.5678
4816410.cif,-1.3569
4274304.cif,-1.502
4274241.cif,-0.6842
4313421.cif,-2.6798
4274418.cif,-2.0641
4274829.cif,-1.4485
4313916.cif,0.6749
4274361.cif,-1.693
4336359.cif,-2.497
4274358.cif,-0.5428
4274217.cif,-0.9069
4274583.cif,-1.3828
4274340.cif,-2.2051
4274421.cif,-1.7951
4302741.cif,-1.6255
4860261.cif,-0.3447
4276572.cif,-2.6752
4274862.cif,-2.4436
4274205.cif,-1.4253
4274187.cif,-1.2383
4287864.cif,0.2869
4274274.cif,-1.9803
4313742.cif,-3.2829
4274253.cif,-1.6777
4274355.cif,-0.8214
4316169.cif,-2.2751
4281204.cif,-2.673
4274370.cif,-1.0839
4277664.cif,-2.8562
4274826.cif,-2.5623
4310997.cif,0.3306
4183854.cif,-2.6898
4274286.cif,-1.9075
4274778.cif,-3.2708
4278129.cif,-2.5051
4275402.cif,-2.5618
4274484.cif,-1.4052
4275138.cif,-2.4776
4274409.cif,-1.1703
4286850.cif,-2.1638
4274640.cif,-1.1482
4274154.cif,-1.1888
4274406.cif,-1.4605
4274316.cif,-1.9777
4313379.cif,-1.2629
4278138.cif,-0.5868
4310217.cif,-1.3992
4878996.cif,-1.3308
4274262.cif,-1.1902
4298616.cif,-1.4487
4276659.cif,-2.4201
4274736.cif,-1.5447
4277541.cif,-3.1735
4274577.cif,-0.9528
4274223.cif,-2.449
4274310.cif,-0.4338
4274157.cif,-0.6752
4274403.cif,-0.4936
4274676.cif,-0.9411
4276341.cif,-0.2192
4313358.cif,0.7256
4337202.cif,-0.9406
4274811.cif,-3.3131
4274679.cif,-2.5934
4860273.cif,-0.9934
4184544.cif,-1.8211
4274319.cif,-3.605
4274364.cif,0.1201
4861086.cif,0.0449
4277115.cif,-1.9681
4274460.cif,-1.7246
4274220.cif,-3.1062
4274481.cif,-2.02
4314993.cif,-2.0335
4283727.cif,-2.7385
4336983.cif,-2.2715
4276749.cif,-2.2854
4278969.cif,-0.3666
4274805.cif,-1.2937
4274547.cif,-2.1334
4274706.cif,-0.2414
4274211.cif,-2.4872
4280046.cif,-3.1669
4274289.cif,-2.5038
4274313.cif,-0.0288
4274538.cif,-2.0775
4274571.cif,-2.1064
4861116.cif,0.418
4296420.cif,-1.753
4323633.cif,-1.8043
4275897.cif,-2.1616
4274385.cif,-2.0446
4274544.cif,-0.7399
4318938.cif,-0.0484
4274748.cif,-2.7418
4276548.cif,-3.0116
4815873.cif,-1.4155
4274499.cif,-0.7379
4322841.cif,-2.9553
4274265.cif,-0.666
4274508.cif,-0.9644
4274733.cif,-2.7075
4183107.cif,-2.6069
4279590.cif,-1.9587
4183794.cif,-1.3491
4277898.cif,-1.6234
4274487.cif,-1.5707
4277322.cif,-2.2986
4183494.cif,-1.5972
4274619.cif,-0.0557
4274799.cif,0.3434
4274382.cif,-1.4631
4291485.cif,-1.9223
4274745.cif,-0.6209
4288953.cif,-0.6992
4274214.cif,-0.1592
4277370.cif,-1.6378
4316202.cif,0.9601
4277124.cif,-0.282
4274181.cif,0.2939
4274742.cif,-1.7544
4275354.cif,-1.6675
4878945.cif,-1.1455
4274175.cif,-0.4641
4274208.cif,-0.088
4274526.cif,-3.1224
4274568.cif,-1.186
4313733.cif,-0.4653
4274628.cif,-3.0031
4274709.cif,-0.4345
4274667.cif,-1.1172
4274490.cif,-1.7542
4274280.cif,-1.1391
4274766.cif,-2.1806
4274814.cif,-1.9695
4183359.cif,-1.1784
4274685.cif,-3.304
4274712.cif,-1.1773
4274574.cif,-2.1401
4183311.cif,-1.8822
4295808.cif,-0.5964
4305318.cif,-2.1452
4316157.cif,-0.4947
4319790.cif,-0.751
4277784.cif,-1.9599
4274523.cif,-1.6649
4276038.cif,-2.9891
4274472.cif,-1.0923
4274394.cif,-2.116
4879452.cif,0.9837
4276647.cif,-1.649
4274691.cif,-1.1451
4274775.cif,-1.9226
4274436.cif,-3.5321
4185369.cif,-1.0472
4274586.cif,-1.9668
4278903.cif,-1.569
4274415.cif,-1.8417
4275480.cif,-0.5362
4275039.cif,-2.2603
4313490.cif,-0.3723
4184463.cif,-1.8343
4274532.cif,-1.6545
4274865.cif,-1.6763
4274298.cif,0.0122
4280337.cif,-2.5061
4860279.cif,-0.355
4274868.cif,-1.6759
4183887.cif,-2.4901
4276368.cif,-2.414
4274343.cif,-1.6448
4275681.cif,-2.7833
4274589.cif,-0.9757
4274328.cif,-0.1468
4816242.cif,-2.284
4274442.cif,-0.4513
4274688.cif,0.6291
4274784.cif,-2.9108
4274511.cif,-1.0783
4279434.cif,-3.2511
4274682.cif,-3.0377
4274658.cif,-1.9837
4274631.cif,-3.1205
4283856.cif,-2.2026
4274376.cif,-0.7423
4336923.cif,-2.2731
4274634.cif,0.9108
4274769.cif,-2.2537
4861134.cif,-1.0138
4274637.cif,-1.3335
4275774.cif,-3.3444
4275450.cif,-2.1996
4815942.cif,-1.5615
4274661.cif,-1.5984
4276350.cif,-1.5268
4274793.cif,-0.5028
4274796.cif,-2.9477
4275528.cif,-1.6869
4274346.cif,-2.5276
4275849.cif,-0.2063
4274514.cif,0.254
4277283.cif,-0.3487
4274694.cif,-0.8745
4274763.cif,-1.3779
4274610.cif,-1.739
4275255.cif,-3.0555
4274424.cif,-2.0309
4275048.cif,-1.3778
4274613.cif,-1.5461
4313934.cif,0.84
4284807.cif,-3.0768
4275111.cif,0.1018
4860294.cif,-2.3288
4274322.cif,-0.7265
4274592.cif,-0.7187
4276047.cif,-0.3842
4278390.cif,-1.2081
4275444.cif,-1.7363
4278645.cif,-2.5737
4274823.cif,-2.0279
4275267.cif,-1.4203
4274277.cif,-1.7117
4276416.cif,-2.0812
4274772.cif,-0.9052
4274379.cif,-1.9858
4274703.cif,-1.3922
4276965.cif,-1.1
4274325.cif,-0.3893
4274838.cif,-2.0582
4274427.cif,-2.1957
4274517.cif,0.8421
4275888.cif,-1.3943
4279812.cif,-1.5418
4275906.cif,-3.2393
4275636.cif,-3.0653
4274433.cif,-0.6849
4816023.cif,-2.5989
4276383.cif,-0.6559
4277703.cif,-2.8285
4275075.cif,-3.1575
4276512.cif,-1.8074
4313793.cif,0.1581
4274988.cif,-2.0647
4322835.cif,-0.4626
4275285.cif,-2.7655
4183998.cif,-0.7818
4275735.cif,-1.5756
4274475.cif,-0.7626
4275645.cif,-1.6598
4274751.cif,-2.8876
4274721.cif,-2.7798
4275915.cif,-2.1555
4276761.cif,-1.0077
4275276.cif,-1.1622
4319895.cif,-1.4052
4274412.cif,0.2601
4274844.cif,-1.5481
4274808.cif,-1.7199
4860378.cif,-2.2803
4275384.cif,-0.8005
4274850.cif,-0.7377
4314345.cif,-0.9941
4276002.cif,-3.2951
4276824.cif,-0.4192
4280931.cif,-0.971
4274820.cif,-0.7639
4274958.cif,-1.9149
4275654.cif,-1.9994
4316946.cif,-0.787
4276443.cif,-1.09
4274997.cif,-1.3354
4274553.cif,-2.3896
4322175.cif,-1.9861
4274787.cif,-1.1252
4274856.cif,-2.0917
4275486.cif,-1.4407
4274853.cif,-2.7919
4860315.cif,-0.8195
4274949.cif,-1.9043
4274835.cif,-2.2928
4274901.cif,-1.135
4275921.cif,-1.7788
4285146.cif,-2.1729
4274724.cif,-0.4371
4317726.cif,0.0868
4275783.cif,-1.6655
4275375.cif,-0.5667
4274967.cif,-1.7589
4275369.cif,0.501
4280922.cif,-2.5753
4275714.cif,-1.5875
4276053.cif,-1.3744
4816008.cif,-2.8564
4275120.cif,-1.7023
4274697.cif,-1.5847
4275834.cif,-2.7208
4285008.cif,-1.8592
4274463.cif,-1.6193
4275579.cif,-1.6407
4275858.cif,-1.9181
4274457.cif,-1.1268
4274445.cif,0.1129
4336980.cif,-1.7
4275567.cif,0.4572
4337208.cif,-2.7506
4277868.cif,-1.4375
4274802.cif,-2.0818
4276557.cif,-0.6735
4816197.cif,-1.2057
4275294.cif,-2.2911
4274451.cif,-1.0212
4275585.cif,-1.9627
4275300.cif,-2.3528
4285377.cif,-1.4881
4276122.cif,-1.4148
4275594.cif,-1.5529
4274595.cif,-1.0584
4275153.cif,-3.0659
4274817.cif,-2.3278
4274550.cif,-1.5273
4816338.cif,-2.4347
4275603.cif,0.559
4275426.cif,-2.3793
4274790.cif,-0.1765
4274982.cif,-1.9424
4275147.cif,-0.8733
4337298.cif,-2.9097
4274598.cif,-1.249
4275729.cif,-1.827
4275867.cif,-1.177
4276260.cif,-1.0072
4276833.cif,-1.1492
4276185.cif,-1.9078
4275417.cif,-1.376
4274652.cif,-0.6197
4277022.cif,-2.2634
4275339.cif,-1.3763
4274907.cif,-0.795
4276845.cif,-2.7746
4275174.cif,-2.0942
4277952.cif,-2.5659
4184334.cif,-1.7764
4275687.cif,-1.0767
4274859.cif,-1.4798
4274916.cif,-0.0095
4276359.cif,-2.1394
4277136.cif,-3.16
4860342.cif,-2.302
4274832.cif,-2.4205
4276239.cif,-2.8418
4277562.cif,1.3526
4275609.cif,-3.008
4280202.cif,0.5007
4274718.cif,0.3024
4276011.cif,-1.0223
4277472.cif,1.1549
4275309.cif,-2.5505
4275843.cif,0.2768
4275330.cif,-0.8795
4276251.cif,-1.9044
4274715.cif,-2.0758
4274739.cif,-1.4105
4274700.cif,-1.7935
4860363.cif,-1.2013
4276290.cif,-1.7837
4278159.cif,-2.1016
4274841.cif,-0.8118
4342053.cif,-0.4321
4278348.cif,-1.249
4318884.cif,-0.7933
4290312.cif,-2.3532
4276488.cif,-1.2364
4275057.cif,-0.0691
4276497.cif,-1.4346
4277451.cif,-2.2127
4276299.cif,-1.0256
4276266.cif,-2.7175
4277274.cif,-2.2988
4275948.cif,-0.171
4274871.cif,-1.2432
4276587.cif,-1.3992
4288605.cif,-0.7232
4276170.cif,-1.1077
4275756.cif,-0.2546
4276176.cif,-2.4089
4276194.cif,-2.9036
4274760.cif,-0.1807
4276791.cif,-3.4473
4276854.cif,-1.6379
4184058.cif,-2.7139
4277145.cif,-1.4893
4316646.cif,-0.9758
4277007.cif,-0.9134
4276377.cif,-1.6738
4276668.cif,-0.7889
4276026.cif,0.5884
4280016.cif,-1.0125
4277409.cif,-1.9491
4276062.cif,-2.1407
4275966.cif,-1.3826
4860411.cif,-2.5737
4277217.cif,-2.2467
4278084.cif,-1.3049
4277679.cif,-2.6223
4276077.cif,-1.8061
4280061.cif,-1.6079
4281756.cif,-2.8001
4277877.cif,-2.2941
4278912.cif,-0.4112
4277379.cif,-1.4971
4276452.cif,-0.3386
4276596.cif,-1.0481
4317126.cif,-0.6067
4184340.cif,-1.8676
4277154.cif,-3.2691
4278960.cif,-3.3016
4297191.cif,-1.6542
4276680.cif,0.8175
4276458.cif,0.1885
4276782.cif,-1.2616
4276314.cif,-1.8701
4275957.cif,-0.4664
4878252.cif,-2.3261
4275246.cif,-0.0527
4879194.cif,-2.6294
4277688.cif,-2.2644
4860399.cif,-1.0188
4315857.cif,0.5409
4276467.cif,0.0736
4274886.cif,0.0742
4277385.cif,-0.6642
4277016.cif,-1.2726
4816416.cif,-2.0158
4276710.cif,-0.214
4276392.cif,-1.8551
4277793.cif,-3.1361
4276275.cif,-2.2485
4276689.cif,-1.637
4816248.cif,-2.1208
4275975.cif,-2.7091
4276701.cif,-2.4702
4277298.cif,-2.844
4277547.cif,-1.0733
4277832.cif,-2.1985
4276323.cif,-0.4876
4277859.cif,-3.519
4276086.cif,-2.0584
4276800.cif,-1.0747
4276905.cif,-0.1685
4278543.cif,-2.1306
4276875.cif,-2.5279
4276890.cif,-1.585
4288572.cif,-1.412
4277628.cif,-2.0703
4277181.cif,-0.7906
4276203.cif,-0.341
4276602.cif,-1.2429
4280673.cif,-2.0512
4275558.cif,-0.9378
4278357.cif,-1.7245
4276956.cif,-2.3297
4280331.cif,-2.0068
4278054.cif,-2.6431
4183896.cif,-2.5509
4276482.cif,-0.3603
4275066.cif,-0.972
4279746.cif,-1.2787
4277304.cif,-0.9583
4276863.cif,-0.0727
4336662.cif,-1.6863
4183566.cif,-0.8639
4277031.cif,-0.1792
4275624.cif,-1.2474
4276971.cif,-0.4044
4828266.cif,-0.063
4816230.cif,-2.0536
4816671.cif,-0.1716
4860402.cif,-1.9398
4277313.cif,-1.5366
4277196.cif,-3.0432
4277463.cif,-1.8607
4280373.cif,-2.1982
4278228.cif,-0.1752
4278237.cif,-0.9143
4860099.cif,-2.4752
4276899.cif,-2.4861
4276131.cif,-1.2875
4277967.cif,-1.6375
4277259.cif,-1.1888
4277172.cif,-0.5101
4316733.cif,-0.152
4278921.cif,-0.2573
4276815.cif,0.7219
4276719.cif,-0.1046
4277574.cif,-0.5968
4277958.cif,-1.9283
4299033.cif,-0.956
4278099.cif,-1.9858
4280745.cif,-2.4345
4277190.cif,-0.6435
4860102.cif,1.4592
4278252.cif,-1.4582
4318866.cif,-2.5406
4277889.cif,-1.3518
4275807.cif,0.1944
4860123.cif,-2.4803
4277805.cif,-1.5987
4320162.cif,-2.3358
4277250.cif,-2.5836
4277205.cif,-2.8365
4277235.cif,-1.2365
4277241.cif,-2.5413
4281783.cif,-1.5711
4276284.cif,-1.1683
4277583.cif,-1.2922
4184112.cif,-2.5965
4319796.cif,-0.6004
4816029.cif,-1.1297
4321047.cif,-0.1647
4290264.cif,-1.5535
4287843.cif,0.3426
4277046.cif,-1.8141
4277988.cif,-0.9695
4185441.cif,-0.5186
4278063.cif,-1.9121
4278219.cif,-0.9231
4276914.cif,-2.9234
4319526.cif,-2.4344
4861107.cif,0.0811
4378545.cif,-1.5365
4277715.cif,-0.8302
4879254.cif,-0.7633
4278552.cif,-1.6658
4276521.cif,-2.0893
4277997.cif,-3.2752
4277907.cif,-0.4135
4277748.cif,-1.1909
4276629.cif,-2.6079
4277079.cif,0.3001
4277055.cif,-0.453
4277604.cif,-0.0597
4279515.cif,-3.3145
4277979.cif,-3.0439
4277820.cif,-1.825
4277919.cif,-1.1936
4277064.cif,-1.5188
4278459.cif,-2.309
4277394.cif,0.5839
4279506.cif,-0.7248
4278150.cif,-0.33
4278777.cif,-1.4227
4278864.cif,-1.9734
4279083.cif,-2.0308
4280484.cif,-2.5601
4278579.cif,-0.5814
4279569.cif,-2.2674
4277589.cif,-0.6284
4277070.cif,-1.8025
4278072.cif,-1.9392
4278291.cif,-0.7066
4278669.cif,-1.6757
4278702.cif,-2.009
4183860.cif,-1.2902
4278837.cif,0.0906
4278585.cif,-0.2957
4277637.cif,-1.7581
4276986.cif,0.1126
4278846.cif,-2.534
4280181.cif,-0.1497
4183575.cif,-0.3863
4276506.cif,-0.4549
4280073.cif,-3.2526
4280994.cif,-0.6486
4285248.cif,-2.5697
4291881.cif,-2.5019
4319694.cif,0.4997
4278177.cif,-2.4924
4277733.cif,-1.8168
4861152.cif,-1.7995
4276401.cif,-1.882
4322298.cif,0.4968
4278372.cif,-2.2592
4336707.cif,-1.7513
4276611.cif,-0.7941
4861137.cif,-0.3316
4279755.cif,-0.2775
4277646.cif,-0.9413
4860096.cif,-3.0598
4289859.cif,-2.2577
4281963.cif,-2.8709
4277934.cif,-2.2208
4318149.cif,-1.0379
4278300.cif,-0.5392
4290633.cif,-2.6208
4281030.cif,-1.2889
4283736.cif,-2.5212
4280496.cif,-1.5943
4279827.cif,-2.2524
4278183.cif,-1.4212
4320357.cif,0.2213
4278660.cif,-2.2244
4284684.cif,-0.7238
4280682.cif,-2.6725
4285002.cif,-0.6159
4278489.cif,-0.7368
